dataset,extradata,global_rank,metric_name,metric_value,model,remove,task,paper_title,paper_path,paper_url
LibriSpeech test-other,,# 3,Word Error Rate (WER),8.79,deep 1d convs + ctc + external lm rescoring,-,Speech Recognition,Jasper: An End-to-End Convolutional Neural Acoustic Model,/paper/jasper-an-end-to-end-convolutional-neural,https://arxiv.org/pdf/1904.03288v1.pdf
Penn Treebank (Character Level),,# 1,Bit per Character (BPC),1.158,Trellis Network,-,Language Modelling,Trellis Networks for Sequence Modeling,/paper/trellis-networks-for-sequence-modeling,https://arxiv.org/pdf/1810.06682v2.pdf
Penn Treebank (Character Level),,# 1,Number of params,13.4M,Trellis Network,-,Language Modelling,Trellis Networks for Sequence Modeling,/paper/trellis-networks-for-sequence-modeling,https://arxiv.org/pdf/1810.06682v2.pdf
Penn Treebank (Word Level),,# 11,Test perplexity,54.19,Trellis Network,-,Language Modelling,Trellis Networks for Sequence Modeling,/paper/trellis-networks-for-sequence-modeling,https://arxiv.org/pdf/1810.06682v2.pdf
Sequential MNIST,,# 1,Accuracy,99.20,Trellis Network,-,Language Modelling,Trellis Networks for Sequence Modeling,/paper/trellis-networks-for-sequence-modeling,https://arxiv.org/pdf/1810.06682v2.pdf
WikiText-103,,# 5,Test perplexity,29.19,Trellis Network,-,Language Modelling,Trellis Networks for Sequence Modeling,/paper/trellis-networks-for-sequence-modeling,https://arxiv.org/pdf/1810.06682v2.pdf
WMT2016 English-German,,# 2,BLEU score,28.4,Linguistic Input Features,-,Machine Translation,Linguistic Input Features Improve Neural Machine Translation,/paper/linguistic-input-features-improve-neural,https://arxiv.org/pdf/1606.02892v2.pdf
WMT2016 German-English,,# 2,BLEU score,32.9,Linguistic Input Features,-,Machine Translation,Linguistic Input Features Improve Neural Machine Translation,/paper/linguistic-input-features-improve-neural,https://arxiv.org/pdf/1606.02892v2.pdf
CIFAR-10,,# 3,Model Entropy,3.5,Real NVP,-,Image Generation,Density estimation using Real NVP,/paper/density-estimation-using-real-nvp,https://arxiv.org/pdf/1605.08803v3.pdf
CIFAR-10,,# 5,Model Entropy,3.0,PixelRNN,-,Image Generation,Density estimation using Real NVP,/paper/density-estimation-using-real-nvp,https://arxiv.org/pdf/1605.08803v3.pdf
enwiki8,,# 5,Bit per Character (BPC),1.06,Transformer-XL - 12 layers,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
enwiki8,,# 1,Number of params,41M,Transformer-XL - 12 layers,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
enwiki8,,# 3,Bit per Character (BPC),0.99,Transformer-XL - 24 layers,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
enwiki8,,# 1,Number of params,277M,Transformer-XL - 24 layers,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
enwiki8,,# 4,Bit per Character (BPC),1.03,Transformer-XL - 18 layers,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
enwiki8,,# 1,Number of params,88M,Transformer-XL - 18 layers,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
Hutter Prize,,# 2,Bit per Character (BPC),1.03,18-layer Transformer-XL,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
Hutter Prize,,# 1,Number of params,88M,18-layer Transformer-XL,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
Hutter Prize,,# 3,Bit per Character (BPC),1.06,12-layer Transformer-XL,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
Hutter Prize,,# 1,Number of params,41M,12-layer Transformer-XL,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
Hutter Prize,,# 1,Bit per Character (BPC),0.99,24-layer Transformer-XL,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
Hutter Prize,,# 1,Number of params,277M,24-layer Transformer-XL,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
One Billion Word,,# 3,PPL,23.5,Transformer-XL Base,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
One Billion Word,,# 1,Number of params,0.46B,Transformer-XL Base,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
One Billion Word,,# 1,PPL,21.8,Transformer-XL Large,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
One Billion Word,,# 1,Number of params,0.8B,Transformer-XL Large,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
Penn Treebank (Word Level),,# 11,Validation perplexity,56.72,Transformer-XL,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
Penn Treebank (Word Level),,# 13,Test perplexity,54.55,Transformer-XL,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
Penn Treebank (Word Level),,# 1,Params,24M,Transformer-XL,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
Text8,,# 3,Bit per Character (BPC),1.08,Transformer-XL - 24 layers,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
Text8,,# 1,Number of params,277M,Transformer-XL - 24 layers,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
WikiText-103,,# 2,Validation perplexity,18.2,Transformer-XL Large,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
WikiText-103,,# 2,Test perplexity,18.3,Transformer-XL Large,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
WikiText-103,,# 1,Number of params,257M,Transformer-XL Large,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
WikiText-103,,# 3,Validation perplexity,23.1,Transformer-XL Standard,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
WikiText-103,,# 4,Test perplexity,24.0,Transformer-XL Standard,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
WikiText-103,,# 1,Number of params,151M,Transformer-XL Standard,-,Language Modelling,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,/paper/transformer-xl-attentive-language-models,https://arxiv.org/pdf/1901.02860v2.pdf
GTAV-to-Cityscapes Labels,,# 3,mIoU,39.5,CyCADA pixel+feat,-,Synthetic-to-Real Translation,CyCADA: Cycle-Consistent Adversarial Domain Adaptation,/paper/cycada-cycle-consistent-adversarial-domain,https://arxiv.org/pdf/1711.03213v3.pdf
GTAV-to-Cityscapes Labels,,# 1,fwIOU,72.4,CyCADA pixel+feat,-,Synthetic-to-Real Translation,CyCADA: Cycle-Consistent Adversarial Domain Adaptation,/paper/cycada-cycle-consistent-adversarial-domain,https://arxiv.org/pdf/1711.03213v3.pdf
GTAV-to-Cityscapes Labels,,# 1,Per-pixel Accuracy,82.3%,CyCADA pixel+feat,-,Synthetic-to-Real Translation,CyCADA: Cycle-Consistent Adversarial Domain Adaptation,/paper/cycada-cycle-consistent-adversarial-domain,https://arxiv.org/pdf/1711.03213v3.pdf
SVNH-to-MNIST,,# 1,Classification Accuracy,90.4%,CyCADA pixel+feat,-,Unsupervised Image-To-Image Translation,CyCADA: Cycle-Consistent Adversarial Domain Adaptation,/paper/cycada-cycle-consistent-adversarial-domain,https://arxiv.org/pdf/1711.03213v3.pdf
SYNTHIA Fall-to-Winter,,# 1,mIoU,63.3,CyCADA,-,Image-to-Image Translation,CyCADA: Cycle-Consistent Adversarial Domain Adaptation,/paper/cycada-cycle-consistent-adversarial-domain,https://arxiv.org/pdf/1711.03213v3.pdf
SYNTHIA Fall-to-Winter,,# 1,Per-pixel Accuracy,92.1%,CyCADA,-,Image-to-Image Translation,CyCADA: Cycle-Consistent Adversarial Domain Adaptation,/paper/cycada-cycle-consistent-adversarial-domain,https://arxiv.org/pdf/1711.03213v3.pdf
SYNTHIA Fall-to-Winter,,# 1,fwIOU,85.7,CyCADA,-,Image-to-Image Translation,CyCADA: Cycle-Consistent Adversarial Domain Adaptation,/paper/cycada-cycle-consistent-adversarial-domain,https://arxiv.org/pdf/1711.03213v3.pdf
CompCars,,# 2,Accuracy,91.2%,GoogLeNet,-,Fine-Grained Image Classification,A Large-Scale Car Dataset for Fine-Grained Categorization and Verification,/paper/a-large-scale-car-dataset-for-fine-grained,https://arxiv.org/pdf/1506.08959v2.pdf
CompCars,,# 3,Accuracy,81.9%,AlexNet,-,Fine-Grained Image Classification,A Large-Scale Car Dataset for Fine-Grained Categorization and Verification,/paper/a-large-scale-car-dataset-for-fine-grained,https://arxiv.org/pdf/1506.08959v2.pdf
BSD100 - 4x upscaling,,# 14,PSNR,27.44,RL-CSC,-,Image Super-Resolution,Image Super-Resolution via RL-CSC: When Residual Learning Meets Convolutional Sparse Coding,/paper/image-super-resolution-via-rl-csc-when,https://arxiv.org/pdf/1812.11950v1.pdf
BSD100 - 4x upscaling,,# 19,SSIM,0.7302,RL-CSC,-,Image Super-Resolution,Image Super-Resolution via RL-CSC: When Residual Learning Meets Convolutional Sparse Coding,/paper/image-super-resolution-via-rl-csc-when,https://arxiv.org/pdf/1812.11950v1.pdf
Set14 - 4x upscaling,,# 17,PSNR,28.29,RL-CSC,-,Image Super-Resolution,Image Super-Resolution via RL-CSC: When Residual Learning Meets Convolutional Sparse Coding,/paper/image-super-resolution-via-rl-csc-when,https://arxiv.org/pdf/1812.11950v1.pdf
Set14 - 4x upscaling,,# 20,SSIM,0.7741,RL-CSC,-,Image Super-Resolution,Image Super-Resolution via RL-CSC: When Residual Learning Meets Convolutional Sparse Coding,/paper/image-super-resolution-via-rl-csc-when,https://arxiv.org/pdf/1812.11950v1.pdf
Set5 - 4x upscaling,,# 14,PSNR,31.82,RL-CSC,-,Image Super-Resolution,Image Super-Resolution via RL-CSC: When Residual Learning Meets Convolutional Sparse Coding,/paper/image-super-resolution-via-rl-csc-when,https://arxiv.org/pdf/1812.11950v1.pdf
Set5 - 4x upscaling,,# 17,SSIM,0.8907,RL-CSC,-,Image Super-Resolution,Image Super-Resolution via RL-CSC: When Residual Learning Meets Convolutional Sparse Coding,/paper/image-super-resolution-via-rl-csc-when,https://arxiv.org/pdf/1812.11950v1.pdf
Urban100 - 4x upscaling,,# 15,PSNR,25.59,RL-CSC,-,Image Super-Resolution,Image Super-Resolution via RL-CSC: When Residual Learning Meets Convolutional Sparse Coding,/paper/image-super-resolution-via-rl-csc-when,https://arxiv.org/pdf/1812.11950v1.pdf
Urban100 - 4x upscaling,,# 16,SSIM,0.768,RL-CSC,-,Image Super-Resolution,Image Super-Resolution via RL-CSC: When Residual Learning Meets Convolutional Sparse Coding,/paper/image-super-resolution-via-rl-csc-when,https://arxiv.org/pdf/1812.11950v1.pdf
BSD100 - 4x upscaling,,# 15,PSNR,27.42,SESR,-,Image Super-Resolution,SESR: Single Image Super Resolution with Recursive Squeeze and Excitation Networks,/paper/sesr-single-image-super-resolution-with,https://arxiv.org/pdf/1801.10319v1.pdf
BSD100 - 4x upscaling,,# 11,SSIM,0.737,SESR,-,Image Super-Resolution,SESR: Single Image Super Resolution with Recursive Squeeze and Excitation Networks,/paper/sesr-single-image-super-resolution-with,https://arxiv.org/pdf/1801.10319v1.pdf
Set14 - 4x upscaling,,# 16,PSNR,28.32,SESR,-,Image Super-Resolution,SESR: Single Image Super Resolution with Recursive Squeeze and Excitation Networks,/paper/sesr-single-image-super-resolution-with,https://arxiv.org/pdf/1801.10319v1.pdf
Set14 - 4x upscaling,,# 12,SSIM,0.784,SESR,-,Image Super-Resolution,SESR: Single Image Super Resolution with Recursive Squeeze and Excitation Networks,/paper/sesr-single-image-super-resolution-with,https://arxiv.org/pdf/1801.10319v1.pdf
Set5 - 4x upscaling,,# 13,PSNR,31.84,SESR,-,Image Super-Resolution,SESR: Single Image Super Resolution with Recursive Squeeze and Excitation Networks,/paper/sesr-single-image-super-resolution-with,https://arxiv.org/pdf/1801.10319v1.pdf
Set5 - 4x upscaling,,# 16,SSIM,0.8909999999999999,SESR,-,Image Super-Resolution,SESR: Single Image Super Resolution with Recursive Squeeze and Excitation Networks,/paper/sesr-single-image-super-resolution-with,https://arxiv.org/pdf/1801.10319v1.pdf
Urban100 - 4x upscaling,,# 17,PSNR,25.42,SESR,-,Image Super-Resolution,SESR: Single Image Super Resolution with Recursive Squeeze and Excitation Networks,/paper/sesr-single-image-super-resolution-with,https://arxiv.org/pdf/1801.10319v1.pdf
Urban100 - 4x upscaling,,# 14,SSIM,0.7709999999999999,SESR,-,Image Super-Resolution,SESR: Single Image Super Resolution with Recursive Squeeze and Excitation Networks,/paper/sesr-single-image-super-resolution-with,https://arxiv.org/pdf/1801.10319v1.pdf
TREC Robust04,,# 6,MAP,0.2837,FNRM-RankProb_Embed,-,Ad-Hoc Information Retrieval,Neural Ranking Models with Weak Supervision,/paper/neural-ranking-models-with-weak-supervision,https://arxiv.org/pdf/1704.08803v2.pdf
TREC Robust04,,# 7,MAP,0.2811,FNRM-Rank_Embed,-,Ad-Hoc Information Retrieval,Neural Ranking Models with Weak Supervision,/paper/neural-ranking-models-with-weak-supervision,https://arxiv.org/pdf/1704.08803v2.pdf
Caltech,,# 9,Reasonable Miss Rate,7.36,SDS-RCNN,-,Pedestrian Detection,Illuminating Pedestrians via Simultaneous Detection & Segmentation,/paper/illuminating-pedestrians-via-simultaneous,https://arxiv.org/pdf/1706.08564v1.pdf
QASent,,# 5,MAP,0.6436,LSTM,-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
QASent,,# 5,MRR,0.7235,LSTM,-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
QASent,,# 2,MAP,0.7228,LSTM (lexical overlap + dist output),-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
QASent,,# 2,MRR,0.7986,LSTM (lexical overlap + dist output),-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
QASent,,# 1,MAP,0.7339,Attentive LSTM,-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
QASent,,# 1,MRR,0.8117,Attentive LSTM,-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
WikiQA,,# 6,MAP,0.6886,Attentive LSTM,-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
WikiQA,,# 6,MRR,0.7069,Attentive LSTM,-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
WikiQA,,# 7,MAP,0.682,LSTM (lexical overlap + dist output),-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
WikiQA,,# 8,MRR,0.6988,LSTM (lexical overlap + dist output),-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
WikiQA,,# 9,MAP,0.6552,LSTM,-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
WikiQA,,# 10,MRR,0.6747,LSTM,-,Question Answering,Neural Variational Inference for Text Processing,/paper/neural-variational-inference-for-text,https://arxiv.org/pdf/1511.06038v4.pdf
Oxf105k,,# 2,MAP,87.8%,DIR+QE*,-,Image Retrieval,Deep Image Retrieval: Learning global representations for image search,/paper/deep-image-retrieval-learning-global,https://arxiv.org/pdf/1604.01325v2.pdf
Oxf5k,,# 2,MAP,89%,DIR+QE*,-,Image Retrieval,Deep Image Retrieval: Learning global representations for image search,/paper/deep-image-retrieval-learning-global,https://arxiv.org/pdf/1604.01325v2.pdf
Par106k,,# 2,Accuracy,90.5%,DIR+QE*,-,Image Retrieval,Deep Image Retrieval: Learning global representations for image search,/paper/deep-image-retrieval-learning-global,https://arxiv.org/pdf/1604.01325v2.pdf
Par6k,,# 2,Accuracy,93.8%,DIR+QE*,-,Image Retrieval,Deep Image Retrieval: Learning global representations for image search,/paper/deep-image-retrieval-learning-global,https://arxiv.org/pdf/1604.01325v2.pdf
BSD100 - 4x upscaling,,# 19,PSNR,27.29,DnCNN-3,-,Image Super-Resolution,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
BSD100 - 4x upscaling,,# 23,SSIM,0.7253,DnCNN-3,-,Image Super-Resolution,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
BSD68 sigma10,,# 2,PSNR,36.31,DnCNN,-,Image Denoising,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
BSD68 sigma15,,# 3,PSNR,31.73,DnCNN,-,Image Denoising,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
BSD68 sigma25,,# 3,PSNR,29.23,DnCNN,-,Image Denoising,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
BSD68 sigma30,,# 2,PSNR,30.4,DnCNN,-,Image Denoising,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
BSD68 sigma50,,# 6,PSNR,26.23,DnCNN,-,Image Denoising,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
BSD68 sigma70,,# 2,PSNR,26.56,DnCNN,-,Image Denoising,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
Set14 - 4x upscaling,,# 22,PSNR,28.04,DnCNN-3,-,Image Super-Resolution,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
Set14 - 4x upscaling,,# 24,SSIM,0.7672,DnCNN-3,-,Image Super-Resolution,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
Set5 - 4x upscaling,,# 19,PSNR,31.4,DnCNN-3,-,Image Super-Resolution,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
Set5 - 4x upscaling,,# 21,SSIM,0.8845,DnCNN-3,-,Image Super-Resolution,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
Urban100 - 4x upscaling,,# 20,PSNR,25.2,DnCNN-3,-,Image Super-Resolution,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
Urban100 - 4x upscaling,,# 19,SSIM,0.7521,DnCNN-3,-,Image Super-Resolution,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
Urban100 sigma50,,# 6,PSNR,26.28,DnCNN,-,Image Denoising,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
Urban100 sigma70,,# 4,PSNR,24.36,DnCNN,-,Image Denoising,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,/paper/beyond-a-gaussian-denoiser-residual-learning,https://arxiv.org/pdf/1608.03981v1.pdf
COCO,,# 3,Test AP,66.5,PersonLab,-,Keypoint Detection,"PersonLab: Person Pose Estimation and Instance Segmentation with a Bottom-Up, Part-Based, Geometric Embedding Model",/paper/personlab-person-pose-estimation-and-instance,https://arxiv.org/pdf/1803.08225v1.pdf
SVNH-to-MNIST,,# 2,Classification Accuracy,84.4%,DTN,-,Unsupervised Image-To-Image Translation,Unsupervised Cross-Domain Image Generation,/paper/unsupervised-cross-domain-image-generation,https://arxiv.org/pdf/1611.02200v1.pdf
MR,,# 2,Accuracy,83.8,RNN-Capsule,-,Sentiment Analysis,Sentiment Analysis by Capsules,/paper/sentiment-analysis-by-capsules,https://www.researchgate.net/publication/323257127_Sentiment_Analysis_by_Capsules/download
SST-5 Fine-grained classification,,# 10,Accuracy,49.3,RNN-Capsule,-,Sentiment Analysis,Sentiment Analysis by Capsules,/paper/sentiment-analysis-by-capsules,https://www.researchgate.net/publication/323257127_Sentiment_Analysis_by_Capsules/download
BRATS-2015,,# 2,Dice Score,84%,Multi-Scale 3D + FC-CRF,-,Brain Tumor Segmentation,Efficient Multi-Scale 3D CNN with Fully Connected CRF for Accurate Brain Lesion Segmentation,/paper/efficient-multi-scale-3d-cnn-with-fully,https://arxiv.org/pdf/1603.05959v3.pdf
ACL-ARC,,# 4,F1,53.0,Random Forest,-,Sentence Classification,Measuring the Evolution of a Scientific Field through Citation Frames,/paper/measuring-the-evolution-of-a-scientific-field,https://aclweb.org/anthology/Q18-1028
ACL-ARC,,# 4,F1,53.0,Feature-rich Random Forest,-,Citation Intent Classification,Measuring the Evolution of a Scientific Field through Citation Frames,/paper/measuring-the-evolution-of-a-scientific-field,https://aclweb.org/anthology/Q18-1028
SciCite,,# 4,F1,79.6,Feature-Rich Random Forest,-,Citation Intent Classification,Measuring the Evolution of a Scientific Field through Citation Frames,/paper/measuring-the-evolution-of-a-scientific-field,https://aclweb.org/anthology/Q18-1028
SciCite,,# 5,F1,79.6,Feature-Rich Random Forest,-,Sentence Classification,Measuring the Evolution of a Scientific Field through Citation Frames,/paper/measuring-the-evolution-of-a-scientific-field,https://aclweb.org/anthology/Q18-1028
OCCLUSION,,# 2,MAP,0.38,SSD-6D,-,6D Pose Estimation,SSD-6D: Making RGB-based 3D detection and 6D pose estimation great again,/paper/ssd-6d-making-rgb-based-3d-detection-and-6d,https://arxiv.org/pdf/1711.10006v1.pdf
Penn Treebank,,# 3,POS,97.3,Deep Biaffine,-,Dependency Parsing,Deep Biaffine Attention for Neural Dependency Parsing,/paper/deep-biaffine-attention-for-neural-dependency,https://arxiv.org/pdf/1611.01734v3.pdf
Penn Treebank,,# 2,UAS,95.44,Deep Biaffine,-,Dependency Parsing,Deep Biaffine Attention for Neural Dependency Parsing,/paper/deep-biaffine-attention-for-neural-dependency,https://arxiv.org/pdf/1611.01734v3.pdf
Penn Treebank,,# 2,LAS,93.76,Deep Biaffine,-,Dependency Parsing,Deep Biaffine Attention for Neural Dependency Parsing,/paper/deep-biaffine-attention-for-neural-dependency,https://arxiv.org/pdf/1611.01734v3.pdf
CIFAR-10,,# 22,Percentage correct,93.7,SSCNN,-,Image Classification,Spatially-sparse convolutional neural networks,/paper/spatially-sparse-convolutional-neural,https://arxiv.org/pdf/1409.6070v1.pdf
CIFAR-100,,# 14,Percentage correct,75.7,SSCNN,-,Image Classification,Spatially-sparse convolutional neural networks,/paper/spatially-sparse-convolutional-neural,https://arxiv.org/pdf/1409.6070v1.pdf
SVHN,,# 2,Percentage error,1.54,EraseReLU,-,Image Classification,EraseReLU: A Simple Way to Ease the Training of Deep Convolution Neural Networks,/paper/eraserelu-a-simple-way-to-ease-the-training,https://arxiv.org/pdf/1709.07634v2.pdf
BSD100 - 4x upscaling,,# 32,PSNR,25.02,nearest neighbors,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
BSD100 - 4x upscaling,,# 30,SSIM,0.6606,nearest neighbors,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
BSD100 - 4x upscaling,,# 6,MOS,1.11,nearest neighbors,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
BSD100 - 4x upscaling,,# 29,PSNR,25.94,bicubic,-,Image Super-Resolution,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,/paper/photo-realistic-single-image-super-resolution,https://arxiv.org/pdf/1609.04802v5.pdf
